Component,Dominant_topic_cluster(s),Perc_contribution,Topic_keywords
Openbravo-14,object-based,0.9993755221366882,object-type-value-attribute-key-stream-context-code-element-clazz
Openbravo-2,message-based / object-based,0.9635703414678574,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
Openbravo-3,object-based / message-based,0.9999871551990509,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
Openbravo-4,message-based / object-based,0.9999696016311646,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
Openbravo-5,message-based / object-based,0.8893000781536102,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
Openbravo-6,message-based,0.8159895539283752,message-list-write-value-connection-factory-field-result-local-request
Openbravo-7,message-based / event-based,0.8865332156419754,message-list-write-value-connection-factory-field-result-local-request-event-action-listener-list-component-object-text-item-change-colo
Openbravo-8,message-based,0.7815276384353638,message-list-write-value-connection-factory-field-result-local-request
Openbravo-9,message-based,0.909095287322998,message-list-write-value-connection-factory-field-result-local-request
PermissionReader-1,event-based,0.9998058676719666,event-action-listener-list-component-object-text-item-change-color
Processing.py-Eclipse-Launcher-1,event-based,0.8450003266334534,event-action-listener-list-component-object-text-item-change-color
RESTling-1,message-based,0.7640571594238281,message-list-write-value-connection-factory-field-result-local-request
RESTling-2,message-based / object-based,0.9999822676181793,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
RESTling-3,object-based,0.7569194436073303,object-type-value-attribute-key-stream-context-code-element-clazz
RESTling-4,object-based / message-based,0.9999241828918457,object-type-value-attribute-key-stream-context-code-element-clazz-message-list-write-value-connection-factory-field-result-local-request
RESTling-5,object-based,0.9995003342628479,object-type-value-attribute-key-stream-context-code-element-clazz
SOAP-1,message-based,0.9999759197235107,message-list-write-value-connection-factory-field-result-local-request
SOAP-2,message-based / event-based,0.8678061366081238,message-list-write-value-connection-factory-field-result-local-request-event-action-listener-list-component-object-text-item-change-colo
SOAP-3,event-based / message-based,0.9998409450054169,message-list-write-value-connection-factory-field-result-local-request-message-list-write-value-connection-factory-field-result-local-request
TaskTrckr-1,event-based,0.9953322410583496,event-action-listener-list-component-object-text-item-change-color
TaskTrckr-2,object-based,0.8839800357818604,object-type-value-attribute-key-stream-context-code-element-clazz
TaskTrckr-3,event-based,0.9998077750205994,event-action-listener-list-component-object-text-item-change-color
Tetris-1,message-based / object-based,0.8262072950601578,message-list-write-value-connection-factory-field-result-local-request-object-type-value-attribute-key-stream-context-code-element-clazz
